"address","authors","authorsori","booktitle","date","editor","institution","journal","month","note","pages","publisher","tech","title","type","volume","year"
"?","scott e fahlman","scott e fahlman","?","1991","?","dept of computer science carnegie mellon university","?","?","?","?","?","technical report cmu cs 91 100","the recurrent cascade correlation architecture","?","?","?"
"?","scott e fahlman","scott e fahlman","innovative applications of massive parallelism","1993","in james geller editor","stanford university","?","?","working notes spring symposium series","pages 85 89","aaai","?","some thoughts on netl 15 years later","?","?","?"
"pittsburgh","fahlman s e","fahlman s e","?","1993","?","carnegie mellon university school of computer science","?","?","?","?","?","?","cmu benchmark collection for neural net learning algorithms","?","?","?"
"?","s e fahlman l d baker and j a boyan","s e fahlman l d baker and j a boyan","?","1996","?","cmu cs tr 96 184 carnegie mellon university","?","?","?","?","?","technical report","the cascade 2 learning architecture","?","?","?"
"?","s e fahlman l d baker and j a boyan","s e fahlman l d baker and j a boyan","?","1996","?","cmu cs tr 96 184 carnegie mellon university","?","?","?","?","?","technical report","the cascade 2 learning architecture","?","?","?"
"?","s e fahlman l d baker and j a boyan","s e fahlman l d baker and j a boyan","?","1996","?","cmu cs tr 96 184 carnegie mellon university","?","?","?","?","?","technical report","the cascade 2 learning architecture","?","?","?"
"?","fahln l e c g brown o stahl c carlsson","fahln l e c g brown o stahl c carlsson","in proceedings of interchi93 amsterdam","1993","?","?","?","?","?","43 48","acm ny","?","a space based model for user interaction in shared synthetic environments","?","?","?"
"?","fahln l e c g brown o stahl c carlsson","fahln l e c g brown o stahl c carlsson","in proceedings of the interchi93 conference amsterdam","1993","?","?","?","?","?","43 48","acm ny","?","a space based model for user interaction in shared synthetic environments","?","?","?"
"?","r forchheimer and o fahlander","r forchheimer and o fahlander","in proceedings picture coding symposium pcs 83 davis","1983","?","?","?","?","?","pp 113 114","?","?","low bit rate coding through animation","?","?","?"
"?","j frankel l alvarez r horowitz and p li","j frankel l alvarez r horowitz and p li","?","?","?","university of california","?","?","?","?","?","ucb path tech note 94 09","robust platoon manuevers for avhs","?","?","?"
"?","l j hendren g r gao e r altman and c muk erji","l j hendren g r gao e r altman and c muk erji","proc of the intl conf on compiler construction number 641 in lec notes in comp sci","1992","in u kastens and p pfahler editors","?","?","?","?","pages 176 191","springer verlag","?","a register allocation framework based on hierarchical cyclic interval graphs","?","?","?"
"?","herzog m h fahle m","herzog m h fahle m","?","1995","?","?","perception","?","?","?","?","?","a recurrent model for learning a hyperacuity task","?","24","?"
"pittsburgh pa","hoehfeld m and fahlman s e","hoehfeld m and fahlman s e","?","1991","?","school of computer science carnegie mellon university","?","?","?","?","?","preprint","learning with limited numerical precision using the cascade correlation algorithm","?","?","?"
"?","m h hoehfeld and s fahlman","m h hoehfeld and s fahlman","?","1992","?","?","ieee transactions on neural networks","?","?","?","?","?","learning with limited numerical precision using the cascade correlation algorithm","?","vol 3 no 4","?"
"new york ny","knoop j and steffen b","knoop j and steffen b","in proceedings of the fourth international conference on compiler construction","1992","u kastens and p ed","?","?","?","lecture notes in computer science","pp 125 140","pfahler springer verlag","?","the interprocedural coincidence theorem","?","vol 641","?"
"new york ny","knoop j and steffen b","knoop j and steffen b","in proceedings of the fourth international conference on compiler construction","1992","u kastens and p pfahler ed","?","?","?","lecture notes in computer science","pp 125 140","springer verlag","?","the interprocedural coincidence theorem","?","vol 641","?"
"new york ny","knoop j and steffen b","knoop j and steffen b","in proceedings of the fourth international conference on compiler construction","1992","u kastens and p pfahler ed","?","?","?","lecture notes in computer science","pp 125 140","springer verlag","?","the interprocedural coincidence theorem","?","vol 641","?"
"new york ny","knoop j and steffen b","knoop j and steffen b","in proceedings of the fourth international conference on compiler construction","1992","u kastens and p pfahler ed","?","?","?","lecture notes in computer science","pp 125 140","springer verlag","?","the interprocedural coincidence theorem","?","vol 641","?"
"new york ny","knoop j and steffen b","knoop j and steffen b","in proc of the fourth int conf on comp construct","1992","u kastens and p ed","?","?","?","lec notes in comp sci","5 7","pfahler springer verlag","?","the interprocedural coincidence theorem","?","vol 641","?"
"new york ny","knoop j and steffen b","knoop j and steffen b","in proc of the fourth int conf on comp construct","1992","u kastens and p ed","?","?","?","lec notes in comp sci","5 7","pfahler springer verlag","?","the interprocedural coincidence theorem","?","vol 641","?"
"new york ny","knoop j and steffen b","knoop j and steffen b","in proceedings of the fourth international conference on compiler construction","1992","u kastens and p ed","?","?","?","lecture notes in computer science","pp 125 140","pfahler springer verlag","?","the interprocedural coincidence theorem","?","vol 641","?"
"new york ny","knoop j and steffen b","knoop j and steffen b","in proceedings of the fourth international conference on compiler construction","1992","u kastens and p ed","?","?","?","lecture notes in computer science","pp 125 140","pfahler springer verlag","?","the interprocedural coincidence theorem","?","vol 641","?"
"s pringer verlag new york ny","knoop j and steffen b","knoop j and steffen b","in proceedings of the fourth international conference on compiler construction","1992","u kastens and p ed","?","?","?","lecture notes in computer science","pp 125 140","pfahler","?","the interprocedural coincidence theorem","?","vol 641","?"
"new york ny","knoop j and steffen b","knoop j and steffen b","in proceedings of the fourth international conference on compiler construction","1992","u kastens and p ed","?","?","?","lecture notes in computer science","pp 125 140","pfahler springer verlag","?","the interprocedural coincidence theorem","?","vol 641","?"
"new york ny","knoop j and steffen b","knoop j and steffen b","in proc of the fourth int conf on comp construct","1992","u kastens and p ed","?","?","?","lec notes in comp sci","5 7","pfahler springer verlag","?","the interprocedural coincidence theorem","?","vol 641","?"
"new york ny","knoop j and steffen b","knoop j and steffen b","in proceedings of the fourth international conference on compiler construction","1992","u kastens and p ed","?","?","?","lecture notes in computer science","pp 125 140","pfahler springer verlag","?","the interprocedural coincidence theorem","?","vol 641","?"
"new york ny","knoop j and steffen b","knoop j and steffen b","in proceedings of the fourth international conference on compiler construction","1992","u kastens and p ed","?","?","?","lecture notes in computer science","pp 125 140","pfahler springer verlag","?","the interprocedural coincidence theorem","?","vol 641","?"
"?","j knoop and b steffen","j knoop and b steffen","proceedings of the fourth international conference on compiler construction lecture notes in computer science","1992","in u kastens and p pfahler editors","?","?","?","?","pages 125 140","springer verlag","?","the interprocedural coincidence theorem","?","vol 641","?"
"?","j knoop and b steffen","j knoop and b steffen","proceedings of the fourth international conference on compiler construction lecture notes in computer science","1992","in u kastens and p pfahler editors","?","?","?","?","pages 125 140","springer verlag","?","the interprocedural coincidence theorem","?","vol 641","?"
"new york ny","j knoop and b steffen","j knoop and b steffen","in proceedings of the fourth international conference on compiler construction","1992","u kastens and p pfahler eds","?","?","?","appeared as lecture notes in computer science","pages 125 140","springer verlag","?","the interprocedural coincidence theorem","?","vol 641","?"
"?","jurgen knopp","jurgen knopp","compiler construction volume 641 of lecture notes in computer science","1992","in u kastnes and p pfahler editors","?","?","?","?","pages 271 277","springer verlag","?","improving the performance of parallel lisp by compile time analysis","?","?","?"
"?","kriegel h p heep s fahldiek a mysliwitz n","kriegel h p heep s fahldiek a mysliwitz n","proc 4th int conf dexa 1993","?","?","?","?","?","?","pp 349 360","?","?","query processing of geometric objects with free form boundaries in spatial databases","?","?","?"
"?","kriegel h p heep s fahldiek a mysliwitz n","kriegel h p heep s fahldiek a mysliwitz n","proc 4th int conf dexa 1993","?","?","?","?","?","?","pp 349 360","?","?","query processing of geometric objects with free form boundaries in spatial databases","?","?","?"
